company,SUPPORT,NEI,CONTRADICT
Potomac Communications Group,,1.0,
Poundfield Precast,,1.0,
Power & Heat Oy,,1.0,
Power Metal Resources,,1.0,
Presight Capital,,1.0,
PreussenElektra,,9.0,
PricewaterhouseCoopers LLC (PwC),,1.0,
Prime Infra,,1.0,
Prime Infrastructure Capital,,1.0,
Prime Movers Lab,,1.0,
Princeton Satellite Systems,,1.0,
Princeton University,,1.0,
Private Fuel Storage,,1.0,
Prochem,,1.0,
Prodigy,,4.0,
Prodigy Clean Energy,,8.0,
Progress,,1.0,
Project Phoenix,1.0,,
Prolog,,1.0,
Prolog LLC,,1.0,
Promcomplect-B,,1.0,
Prometey Construction,,1.0,
Proryv project,,1.0,
Proxima Fusion,,3.0,
Puget Sound Energy,,,1.0
Pukyong National University,,1.0,
Pulsar Fusion,,2.0,
Pupuk Kaltim,,1.0,
PwC,,2.0,
QSA Global,,2.0,
QST,,2.0,
Qatar's wealth fund,1.0,,
Qinshan plant general manager Shang Xianhe,,1.0,
Qnergy,,2.0,
Quality Plus Services,,1.0,
RAFA,,1.0,
RAOS JSC,,4.0,
RASU,,1.0,
RATEN-ICN,,3.0,
RED,,1.0,
RENEA,,1.0,
RINA,3.0,1.0,2.0
RITM-200,,1.0,
RMC,,1.0,
RR,,5.0,
RTE,,3.0,
RWE,,3.0,
RWE Power,,1.0,
Radiant,,4.0,
Radiant Industries,,6.0,
RadioMedix,,1.0,
Radioactive Waste Management (RWM) Limited,,1.0,
Rafako,,1.0,
Rajant,,1.0,
Ramboll,,2.0,
Raos Project,,1.0,1.0
Raten,,3.0,
Reactor Institute Delft,,1.0,
RealWear,,1.0,
Recumo,,1.0,
Redpath Deilmann GmbH,,1.0,
Regardie,,1.0,
Regnum Technology Group,,4.0,
Reimagined Ventures,,2.0,
Reinvent Energy,,1.0,
Renaissance Fusion,,2.0,
Research Institute of Atomic Reactors (NIIAR),,1.0,
Research Institute of Instruments,,1.0,
Research Instruments,,2.0,
Resolve Robotics,,1.0,
Respect Energy,,3.0,
Reuter-Stokes,,3.0,2.0
RhinoCorps,,1.0,
Ricardo Energy and Environment,,1.0,
Ringhals,,1.0,
Rio Tinto,,1.0,
Ritm,,1.0,
RoPower,3.0,5.0,
RoPower Nuclear,,8.0,
Rock Creek Innovations,,3.0,
Rockwell,,1.0,
Rolls,,1.0,
Rolls Royce Civil Nuclear I&C,,1.0,
Rolls-Royce LibertyWorks,,1.0,
Rolls-Royce SMR,41.0,139.0,24.0
Rolls-Royce SMR Limited,1.0,2.0,1.0
Romanian Atomic Forum,,1.0,
Rosatom,86.0,471.0,25.0
Rosatom (implied by the mention of Leningrad NPP),,1.0,
Rosatom (via RITM-200),,1.0,
Rosatom - Atomenergomash,,1.0,
Rosatom Energy Projects,,3.0,
Rosatom Engineering Division,,3.0,1.0
Rosatom State Corporation,,3.0,1.0
Rosatom Technical Academy,,1.0,
Rosatom's Atommash plant,,1.0,
Rosatom's TVEL,,1.0,1.0
Rosatom's fuel company TVEL,,5.0,1.0
Rosatom. Empresa Estatal de Energía Atómica Rusa,,1.0,
Rosatomflot,,2.0,
Rosatom’s mechanical engineering division Atomenergomash,,3.0,
Roscosmos,,1.0,
Roselectronics,,3.0,
Rosenergoatom,9.0,59.0,7.0
Rosenergoatom Concern,,2.0,
Rosgvardiya,2.0,1.0,
Rostekhnadzor,,10.0,3.0
Rothschild & Co,,1.0,
Royce,1.0,,
Rusatom Automated Control Systems (RASU),,5.0,
Rusatom Healthcare,,1.0,
Rusatom Overseas,,9.0,
Rusatom Overseas JSC (part of Rosatom),,1.0,
Rusatom Service,1.0,3.0,
Rusatom – International Network,,1.0,
Rusatom-ElectroTechMash JSC,,1.0,
Ruspolimet,,1.0,
Russia,1.0,7.0,1.0
Russia's TSS Group,,1.0,
Russian Defence Ministry,,1.0,
Russian Federation,,1.0,
Russian companies,,1.0,
Russian nuclear industry,1.0,,
Rütschi Fluid AG,2.0,1.0,
Rütschi Group,1.0,,
S&P Platts,,1.0,
SACE,,1.0,
SCC,1.0,5.0,
SCC Titan-2,1.0,2.0,
SCK CEN,,18.0,
SCS,,1.0,
SCX,,2.0,
SCX Special Projects,,1.0,
SE,,3.0,
SECIN,,1.0,
SFEN,,1.0,
SGE,1.0,2.0,
SGSC,,1.0,
SHINE,,2.0,
SHINE Technologies,,12.0,1.0
SIMSA,,2.0,
SINAP,,1.0,
SK,,4.0,
SK Ecoplant,1.0,2.0,
SK Inc,,3.0,
SK Innovation,,5.0,
SKB,,5.0,
SMART,,2.0,
SMART Power Company Ltd,,1.0,
SMBC Venture Capital Co,,1.0,
SMU 1 LLC,,1.0,
SN Nuclearelectricia (SNN),2.0,2.0,
SNC,,1.0,
SNC-Lavalin,2.0,22.0,1.0
SNC-Lavalin Group,1.0,6.0,
SNERDI,,1.0,
SNIIP,,1.0,
SNN,,7.0,
SNRIU,,3.0,
SOC,,1.0,
SOGAZ JSC,,1.0,
SPIC,1.0,3.0,
SPK FAYZ,,1.0,
SRNS,,2.0,
SRS,,1.0,
SRS Servizi Ricerche e Sviluppo,2.0,,
SSM,,1.0,
SSN,,1.0,
STFC RAL Space,,1.0,
STUK,,6.0,
SUAS Group,,4.0,
SUS,1.0,,
Saab,,3.0,
Saai,,1.0,
Saber Astronautics,,1.0,
Samruk-Kazyna,,2.0,
Samsung,,2.0,
Samsung C&T,,4.0,
Samsung C&T Corporation,,5.0,1.0
Samsung Heavy Industries,1.0,9.0,
Sandia,,1.0,
Sandia National Laboratories,,3.0,
Sarens,,1.0,
Sargent & Lundy,,5.0,1.0
SaskPower,5.0,13.0,2.0
Saskatchewan Research Council,,2.0,
Savannah River Mission Completion,,1.0,
Savannah River National Laboratory,,2.0,
Savannah River Nuclear Solutions,,2.0,
Savannah River Site,,1.0,
"Savannah River Site's Defense Waste Processing Facility is not a company, but West Valley Demonstration Project",,1.0,
Scana,,1.0,
Schneider Electric,,6.0,1.0
Schweitzer Engineering Laboratories,,1.0,
Scott Brownrigg,,1.0,
Scottish Environment Protection Agency,,2.0,
SeAH Besteel Co Ltd,,1.0,
Seaborg,1.0,17.0,
Seaborg Technologies,1.0,6.0,
Seddon Construction Ltd,,1.0,
Sefako,,2.0,
Segault,,2.0,
Segra Capital Management,,1.0,
Seligdar,,1.0,
Sellafield Ltd,,30.0,3.0
Setec,,1.0,
Setec TPI,,1.0,
Seth Twum-Akwaboah,,1.0,
Seven companies (unnamed),,1.0,
Severstal,,1.0,
Shandong Nuclear Power Company,,1.0,
Shanghai Boiler Works Limited,,3.0,
Shanghai Electric Group,,2.0,
Shanghai Electric Power Equipment Company,,2.0,
Shanghai Institute of Applied Physics (SINAP),,1.0,
Shanghai Nuclear Engineering Research and Design Institute,,9.0,
Shanghai Nuclear Labor Institute,,1.0,
Sheffield Forgemasters,2.0,8.0,1.0
Sheffield Forgemasters International (SFI),,1.0,
Shell,,1.0,
Shell Global Solutions,,1.0,
Shepherd Power,,1.0,
Shikoku,,1.0,
Shoreline Power Group,1.0,,
Siberian Chemical Combine,1.0,3.0,
Siberian Group of Chemical Enterprises,,1.0,
Siemens,,13.0,1.0
Siemens Energy,,2.0,
Siemens-Kraftwerk Union,,3.0,
Siemens/KWU,,2.0,
Silex,,6.0,
Silex Systems,,6.0,
Silex Systems Limited,,1.0,
Sinatom,,1.0,
Siteflow,,5.0,
Six companies,,1.0,
Sizewell C,,1.0,2.0
Skanska,,1.0,
Skanska Talonrakennus Oy,,1.0,
Skepast & Puhkim,,1.0,
Slovak Nuclear & Decommissioning Company (JAVYS),,2.0,
Slovak Power Holding BV,,2.0,
Slovenske Elektrarne,3.0,23.0,1.0
Smart Green Shipping (SGS),,1.0,
Smolensk NPP,,2.0,
Smolenskatomenergoremont (SAER),,1.0,
Societatea Națională Nuclearelectrica,,8.0,
Sogin,,6.0,
Sokolovska Uhelna,1.0,2.0,
Solexperts,,1.0,
Somet,,1.0,
South African Atomic Energy Corporation (Necsa),,1.0,
South Korea,,5.0,
South Korea's state-owned nuclear developer,,1.0,
Southern,,2.0,
Southern California Edison,,3.0,
Southern Company,3.0,23.0,3.0
Southern Company Services,,1.0,
Southern Nuclear,2.0,18.0,
Southern Nuclear Operating Company,,2.0,
"Southwest Institute of Physics (SWIP), China National Nuclear Corporation (CNNC)",,1.0,
Southwestern Institute of Physics,,3.0,
SpaceX,,1.0,
Spent Fuel Reprocessing Agency,,1.0,
Spring Valley Acquisition Corp,,,2.0
Springfields,,2.0,
Springfields Fuels Limited,,4.0,
Sprott,,1.0,
Sprott Uranium Trust,,1.0,
St. Louis University,,1.0,
Standard Power,,4.0,1.0
Star 2 Star Communications,,1.0,
Starfire Energy,,1.0,
State Council of China,,1.0,
State Development & Investment Corporation,,1.0,
State Enterprise Eastern Mining and Processing Plant (SE VostokGOK),,1.0,
State Nuclear Regulatory Inspectorate of Ukraine (SNRIU),,2.0,
State Power Investment Corporation,1.0,7.0,
State Power Investment Northeast Electric Power Company,,1.0,
State Scientific & Technical Centre for Nuclear & Radiation Safety (SSTCNRS),,3.0,
Statnett,,1.0,
Statsbygg,,1.0,
Steady Energy,3.0,10.0,3.0
Steel Atlas,,1.0,
Stellarex,,5.0,
Stellaria,,7.0,
Steve Vick International (SVI),,2.0,
Stimson Center,,1.0,
Strana Rosatom,,1.0,
Strata Energy,,1.0,
Strategic Innovation Fund,,1.0,
Stratek Global,,1.0,
Structural Integrity Associates,,1.0,
Studsvik,1.0,6.0,
Studsvik Scandpower,,3.0,
Sufa Technology Industrial Company (STIC),,2.0,
Sumitomo Corporation,1.0,1.0,
Sumitomo Corporation of Americas,,2.0,
Summa Linguae S.A.,,1.0,
Summa Linguae Technologies,,1.0,
Sunderland City Council,,1.0,
SuperPower,,1.0,
Supracon,,1.0,
Svensk Kärnbränslehantering (SKB),,5.0,
Svenska Kraftnat,,2.0,
Swedish Radiation Safety Authority,,1.0,
Sydkraft,,1.0,
Synthos,2.0,5.0,
Synthos Green,,1.0,
Synthos Group,,,1.0
Syzran Tyazhmash,,1.0,
T2IC,,1.0,
TANICS,,1.0,
TAU Systems,,1.0,
TC Energy,,3.0,1.0
TDA,,1.0,
TIFF Investment Management,,2.0,
TINT,,1.0,
TITAN 2 IJ INSHAAT,,1.0,
TITAN-2 (part of Rosatom),1.0,,
TM INOX,,1.0,
TRANSCO,,1.0,
TRINITI,,2.0,1.0
TRISO,,1.0,
TRIUMF,,3.0,
TRIUMF Innovations,,2.0,
TSM,,1.0,
TSM Enerji,1.0,3.0,
TSM Enerji Insaat Sanayi Limited Sirketi,,3.0,
TSOs,,1.0,
TU Bergakademie Freiberg,,1.0,
TU Delft,,1.0,
TUK PGB,,1.0,
TUM,,,1.0
TUW – Towarzystwo Ubezpieczeń Wzajemnych,,1.0,
TVA,,9.0,
TVEL,7.0,82.0,6.0
TVEL Fuel Company,,3.0,
TVO,1.0,13.0,2.0
TVO Nuclear Services,4.0,2.0,
TVONS,,1.0,
TWI,4.0,1.0,
Talen,,1.0,
Talen Energy,,1.0,
Tata Consulting Engineers Limited,,2.0,
Taylor Geospatial Institute,,1.0,
Taylor Woodrow,,1.0,
Teathers Financial,,1.0,
TechnicAtome,2.0,7.0,1.0
Technical University of Bratislava,1.0,,
Technip Energies,,2.0,
Technored,,2.0,
Techsnabexport (Tenex),1.0,,
Tecnatom,,1.0,
Tecnatom USA,,1.0,
Tecniark,,1.0,
Tecnimont,2.0,2.0,
Tekhsnabexport,,2.0,
Teledyne Brown Engineering,,3.0,
Teledyne UK Ltd,,1.0,
Telefonika Kable,,1.0,
Teletrix,,2.0,
Tenex,,4.0,1.0
Tennessee Authority Valley,2.0,10.0,1.0
Teollisuuden Voima Oyj (TVO),5.0,22.0,4.0
Tepco,,31.0,1.0
Tepco Holdings Co Ltd,,1.0,
Teplárny Brno,,2.0,
Terex-Demag,1.0,,
Terra Praxis,,1.0,
TerraPower,8.0,78.0,6.0
TerraPower Isotopes,,1.0,
TerraPraxis,,2.0,
Terrafame,,1.0,
Terrestrial Energy,4.0,26.0,2.0
Texas A&M,,1.0,
Texas A&M University,,3.0,
Thales,,1.0,
The Nuclear Container Corporation,,1.0,
The Open University,,1.0,
The Society of United Professionals,,,1.0
The VG Khlopin Radium Institute,,1.0,
Therizon,,14.0,
Thermal Engineering International (USA) Inc.,,3.0,
Third Qinshan Nuclear Power Co (TQNPC),,1.0,
Thomas Thor,,2.0,
ThorCon,,12.0,1.0
Thyssen Schachtbau GmbH Germany,,1.0,
Tia Logistics,,1.0,
Tiny Supercomputer Investment Co.,,1.0,
Titan 2 IC Ictas,,1.0,
Titan Abrasive Systems,,1.0,
Titan-2,2.0,7.0,
Titan2 IC Içtaş Inşaat Anonim Şirketi,,2.0,
Tohoku Electric,,1.0,
Tohoku Electric Power Co,,4.0,
Tokamak Energy,4.0,12.0,
Tokyo,,1.0,
"Tokyo Electric Power Co (Tepco), International Atomic Energy Agency (IAEA)",,1.0,
Tokyo Electric Power Company (Tepco),,15.0,2.0
Tokyo Electric Power Holdings (Tepco),2.0,9.0,1.0
Tokyo Shimbun,,1.0,
Tomsk Polytechnic University,,1.0,
Tony Florence,,1.0,
Topsoe,,6.0,
Torch Technologies,,1.0,
Tornado,,1.0,
Toshiba,,3.0,2.0
Toshiba America Energy Systems Corporation,,1.0,
Toshiba Corp,,1.0,
Toshiba Energy Systems & Solutions Corporation,,1.0,
Tosto Group,3.0,1.0,
Tractebel,3.0,26.0,1.0
Tractebel Engineering,,3.0,
TransAlta,,3.0,
TransAlta Corporation,,2.0,
Transmutex SA,,3.0,
Transrad,,3.0,
Trest RosSEM LLC,2.0,2.0,1.0
TrestRosSEM,,1.0,
Triga International,,7.0,
Trillium Flow Technologies,,1.0,
Triso-X,1.0,9.0,
Tritec,,1.0,
Tru7 Group,,1.0,
TsKBM,1.0,2.0,
Tsinghua University,,1.0,1.0
Turner & Townsend,,1.0,
Twinleaf LLC,,1.0,
Type One Energy,,2.0,
TÜV SÜD,,2.0,
U-Battery Developments,,1.0,
UAM,,1.0,
UAMPS LLC,,1.0,
UCC UK Ltd,,2.0,
UCOR,,6.0,
UDC,,2.0,
UDC UGR,,2.0,
UECC,,1.0,
UJD,,1.0,
UJD – Úrad jadrového dozoru,,1.0,
UJV,,1.0,
UJV REZ,,2.0,
UK,,2.0,
UK Atomic Energy Authority,3.0,7.0,
UK Atomic Energy Authority (UKAEA),,14.0,1.0
"UK Atomic Energy Authority (UKAEA), Nuclear Industry Association (NIA)",,1.0,
UK Atomics,,2.0,
UK Industrial Fusion Solutions Ltd,,2.0,
UK Space Agency,,1.0,
UKAEA,,18.0,1.0
UKIFS,,1.0,
UKRI,,1.0,
ULC-Energy,2.0,8.0,1.0
UMP,,1.0,
UMZ,,2.0,
UNC,,2.0,
UNITY,,1.0,
URSJN,,1.0,
US,,3.0,
US DOE,,1.0,
US Defense Department,,1.0,
US Department of Commerce,,1.0,1.0
US Department of Energy,2.0,26.0,1.0
US Department of Energy (DOE) Office of Environmental Management (EM),,1.0,
US Department of Energy's Office of Nuclear Energy,,1.0,
US EXIM,,1.0,
US Exim Bank,,9.0,
US Export-Import (Exim) Bank,,4.0,
US FUSION & Specialty Construction,,1.0,
US International Development Finance Corporation,,2.0,
US NRC,,2.0,
US Nuclear Industry Council,,,1.0
US Nuclear Regulatory Commission,,14.0,
US Oklo,1.0,,
US Public Service Enterprise Group,,1.0,
US Reactor Forging Consortium,,1.0,
US Space Nuclear Power Corporation,,1.0,
US Steel,,1.0,
US Steel Košice,2.0,2.0,
US Uranium Energy,,1.0,
US-based Clean Core Thorium Energy,,1.0,
US-based Global Nuclear Fuel-Americas,1.0,1.0,
USA,,2.0,
USA Department of State,,1.0,
USACE,,2.0,
USEC,,1.0,
USN,,1.0,
USNC,8.0,65.0,2.0
USNC-Framatome,,1.0,
USNC-UK Ltd,,1.0,
USTDA,,7.0,
UUSA,,1.0,
UVC Partners,,2.0,
UZWIL,,1.0,
Uamps,1.0,3.0,1.0
Ukrgasbank,,1.0,
Ulba FA,,1.0,
Ulba Metallurgical Plant,,1.0,
Ulba-FA LLP,,1.0,
Ulba-TVS,,1.0,
Underwater Construction Corporation,,1.0,
Unibep SA,,1.0,
Unimot,,1.0,
Union Carbide,,1.0,
Union Fenosa,,1.0,
Union Pacific Railroad,,1.0,
Union Square Ventures,,1.0,
Union of Concerned Scientists,,1.0,
Uniper,,4.0,1.0
Uniper Nuclear Services GmbH,,1.0,
Uniserv,,1.0,
United Engineers & Constructors,1.0,2.0,
United Kingdom Atomic Energy Authority,,2.0,
United Nuclear Corporation (UNC),,1.0,
United Shipbuilding Corporation,,2.0,
United States,,3.0,
United States Enrichment Corporation (USEC),,,1.0
United States Trade and Development Agency,,2.0,
United constructions,,1.0,
University of Birmingham,,1.0,
University of Bristol,,2.0,
University of Cambridge,,1.0,
University of Florida,,1.0,
University of Illinois,,1.0,
University of Manchester,1.0,4.0,
University of Missouri – Columbia,,1.0,
University of Nevada,,1.0,
University of New South Wales,,1.0,
University of Sheffield,,1.0,1.0
University of Strathclyde,,1.0,
Uppsala University,,2.0,1.0
Ural Federal University,,2.0,
Uralatomenergoremont,,2.0,
Uranium Energy Corp,,2.0,
Urenco,1.0,55.0,3.0
Urenco Limited,,3.0,
Urenco Nederland,,1.0,
Urenco UK,1.0,2.0,
Urenco USA,1.0,4.0,
Urânio do Brasil,,1.0,
Utah Associated Municipal Power Systems (Uamps),,8.0,
UxC,,1.0,
Uzatom,,2.0,
Uzatom Agency,,1.0,
Uzbek Navoiyuran,,1.0,
V/O Izotop JSC,,3.0,
VCP Capital,,1.0,
VNIIAES,,2.0,
VNIINM,,4.0,
VNIPIET,,1.0,
VNS UK,,1.0,
VTT,,5.0,1.0
VTT Technical Research Centre of Finland,1.0,3.0,
VUJE,1.0,7.0,1.0
VVER,,1.0,
Vaalputs,,1.0,
Vattenfall,4.0,25.0,3.0
Velan,,1.0,
Velan SAS,,1.0,
Veolia,,3.0,
Veolia Group,,1.0,
Veolia KDC Decommissioning Services,,1.0,
Veolia Nuclear Solutions (VNS),,3.0,
Vertical Future,,1.0,
Verve Ventures,,1.0,
Vessco,,1.0,
Vessco Engineering,,1.0,
Viaro Energy,1.0,,
Vietnam Atomic Energy Institute (VinAtom),,1.0,
Vinci Construction Grands Projects,,1.0,
Virial,,1.0,
Vistra,,5.0,
Vistra Operations Company,,1.0,
Vistra Vision,,2.0,
Vital Energi,,1.0,
Voalte,,1.0,
Vogtle,,1.0,1.0
Vulcain Engineering,,1.0,
Vulcan Burners,,2.0,1.0
WANO,,1.0,
WANO MC,,1.0,
WEC,,1.0,1.0
WEC Group,,1.0,
WESEE,,1.0,
WPIL Limited,,1.0,
WSDE,,1.0,
WSP,,2.0,
WSP Environmental,,3.0,
Walco Industries Ltd,,2.0,
Wall St,,1.0,
Walsh Engineering,,2.0,1.0
Walter Tosto,,1.0,
Waste Control Specialists,,3.0,
Welsh Government,,1.0,
West Cumberland Engineering,,1.0,
Western Gateway,,1.0,
Western Service Corporation,,1.0,
Westfälische Wilhelms-Universität Münster,,1.0,
Westinghouse,44.0,364.0,34.0
Westinghouse (BWRX 300),,1.0,
"Westinghouse (parent company of Westinghouse Electric Company, which developed the AP-1000)",,1.0,
Westinghouse Electric,2.0,27.0,
Westinghouse Electric UK Limited,,1.0,
Westinghouse Government Services (WGS),,1.0,
Westinghouse Nuclear,,1.0,
Westinghouse Operating Plant Services,,3.0,
Westinghouse Springfields,,2.0,
Westinghouse Sweden,,1.0,
Wilbe Group,,2.0,
Wolf Creek Nuclear Operating Corporation,,1.0,
Wolverine,,1.0,
Wolverine Power Cooperative,,2.0,
Womble Bond Dickson,,1.0,
Women in Nuclear UK,,1.0,
Wood,,1.0,
Wood & Company,,1.0,
Wood Mackenzie,,2.0,
Wooyang Merchant Marine,,,1.0
World Association of Nuclear Operators (WANO),,2.0,
World Bank,,1.0,
World Nuclear Association,,5.0,1.0
Worldgrid,,2.0,
Wälischmiller Engineering,,1.0,
Wärtsilä Finland Oy,,1.0,
X-Energy,25.0,100.0,8.0
X-Energy Canada,1.0,1.0,
X-energy (Xe-100),,1.0,
X-energy Canada,,1.0,
X-energy UK Holdings,1.0,2.0,
"X-energy, LLC",,1.0,
XCAM Ltd,,1.0,
Xcel,,2.0,
Xcel Energy,,8.0,2.0
Xi'an Nuclear Equipment Co Ltd,,1.0,
Y-12 National Security Complex,,3.0,
YIT Suomi Oy,,1.0,
YRYS-Expert-Kurylys,,1.0,
Yellow Cake,,1.0,
Yellowcake,,2.0,
Yes VC,,1.0,
YouGov,,,1.0
ZAO Cyclotron,,1.0,
ZEPAK,,2.0,
ZKS Ferrum,,1.0,
ZNPP,,2.0,2.0
ZNPP EO JSC,,1.0,
ZPUE,,1.0,
ZRE,,1.0,
ZRE Katowice,,1.0,
Zachry Group,,1.0,
Zachry Nuclear Engineering,,1.0,
Zap Energy,,3.0,
Zaporizhia NPP,,2.0,
Zarmen,,1.0,
Ze Pak,2.0,9.0,1.0
Zeno Power,,2.0,
Zespół Elektrowni Pątnów-Adam-Konin SA,,1.0,
Zhongyuan,,1.0,
ZiO-Podolsk,,5.0,
ZionSolutions,,1.0,
Zodiac Maritime,,1.0,
Zurich-based ABB,,1.0,
Zwilag,,1.0,
cloud service providers,,1.0,
e-Vinci,,1.0,
eVinci Technologies,,1.0,
newcleo,24.0,24.0,1.0
nucleareurope,,6.0,1.0
oculavis,,1.0,
partner/supplier,,1.0,
plant supplier,,1.0,
redalpine,,1.0,
terratec geophysical services GmbH & Co,,1.0,
École Polytechnique de Montréal,,1.0,
Électricité de France (EDF),,12.0,
Ørsted,,1.0,
Østfold Energi,2.0,3.0,
ÚJV Rež,,,1.0
ÚJV Rež Research and Development,,1.0,
ÚJV Řež,,2.0,
ČEZ Group,,4.0,
ŠKODA JS,,5.0,
Škoda,,1.0,
Škoda Praha,,2.0,1.0
