claim,company,chunk,label
"Rolls-Royce says that its first 470MWe plant could be built for £2.5bn, falling to £1.8bn as its 'production line' gets up to speed.",Rolls-Royce,"An attraction of new nuclear projects is the opportunity to create new jobs and upskill people. However, the need for speed requires a bigger workforce, with perhaps three times the current number of skilled workers able to work on new nuclear projects. If the UK economy cools and workers are laid off in other industries, recruiting the required numbers may be possible. But if the employment market as a whole remains hot, the construction industry will face the same challenge it has done for decades already: attracting enough talent to deliver the pipeline of infrastructure projects. Competition for people could be a significant barrier to progress. The very scale of large nuclear projects is also problematic, causing severe distortions in local economies: housing, feeding, transporting and entertaining thousands of workers and supplying vast quantities of construction materials impacts communities both during and after construction. Impacts can be both good and bad – and must be carefully managed. Small modular reactor (SMR) technology should have an important role to play in reaching the 24GW goal. SMRs typically have an output of less than 300MWe, although Rolls-Royce is developing a 470MWe unit. Whereas the reactor designs of Hinkley Point C and Sizewell C must be built in situ, the companies developing SMR designs say they will be factory built and delivered to site as ‘plug-in’ modules. With less construction, the time from project start to operation will be much shorter. Rolls-Royce says that its first 470MWe plant could be built for £2.5bn, falling to £1.8bn as its ‘production line’ gets up to speed. Build time will be between three and five years. Rapid construction and a cost comparable to offshore wind per MWe of electricity generated are matched by other attractions. Many of the jobs created will be factory-based and able to tap existing manufacturing skills as the economy transitions from ‘old’ industrial technologies to new ones.",SUPPORT
Rolls-Royce is currently developing and designing its SMRs together with Atkins,Rolls-Royce,"Another option could be small modular reactors (SMRs), which are potentially faster to deploy than large scale nuclear. Rolls-Royce is currently developing and designing its SMRs in conjunction with Atkins. The project received £210M backing from the UK government last year, with over £250M more coming from private sources including Qatar’s wealth fund. Rolls-Royce submitted designs for small reactors at Wylfa and Trawsfynydd, both in Wales, in March, and is expecting to receive UK regulatory approval for its SMR by mid-2024 with a view to powering up by 2029 – two years ahead of schedule. Meanwhile, Energy and Climate Intelligence Unit senior analyst Jess Ralston feels that there is a strong case for renewables, which are ""quicker, easier and cheaper"" to get up and running and provide a more secure investment return. Prime minister Boris Johnson has previously said offshore wind will produce enough electricity to power every home in the country by 2030 and energy experts have told NCE that offshore wind looks set to become the ""backbone"" of the UK's energy mix. Just last month, the installation of the first foundations for 277 wind turbines at Dogger Bank Wind Farm in the North Sea began. In addition, as a result of the Energy Security Strategy, the government will be consulting on developing partnerships with a limited number of supportive communities who wish to host new onshore wind infrastructure in return for guaranteed lower energy bills. Energy secretary Kwasi Kwarteng has previously said he feels the energy crisis could make people more open to onshore windfarms.",SUPPORT
Great British Nuclear has launched with the objective of developing small modular reactor (SMR) technology and other nuclear technologies.,Great British Nuclear,"The latest funding follows the launch of the new arms-length government body Great British Nuclear, which is intended to oversee the “rapid expansion” of nuclear power in the UK. It has launched with the objective of developing small modular reactor (SMR) technology and other nuclear technologies, but it is also intended to support large-scale nuclear projects such as Sizewell C and the under construction Hinkley Point C. Nuclear and networks minister Andrew Bowie said: “The steps we’re taking today will speed up the development of one of our biggest projects, Sizewell C, towards final approval, which would enable construction to start as soon as possible, supporting thousands of jobs for communities in Suffolk and across the country.” Campaign group Stop Sizewell C said: “It sticks in the throat to see ministers splashing more taxpayers’ cash months before a Final Investment Decision, while maintaining total secrecy about whether Sizewell C can achieve value for money. With an Office for Nuclear Regulation Inspector calling Sizewell ‘an expensive site to develop’, and Vattenfall's Boreas offshore wind farm falling victim to 40% cost increases, when will ministers come clean about the true cost of Sizewell C?”",SUPPORT
The UK has committed to exploring another power plant similar in scale to Sizewell C and building a fleet of small modular reactors.,,"On the heels of the DCO being triggered, the UK government made an additional £1.3bn available to support the construction of Sizewell C. The funding package will allow the early construction works to continue ahead of a final investment decision later this year. The additional investment consolidates the government’s position as the majority shareholder in the project, reached in December 2023. It follows a £700M funding pledge in November 2022 and a further £511M last summer. The Independent recently reported that energy company Centrica was eyeing Sizewell C as a “possible future investment”. Once completed, the 3.2GW nuclear power station is expected to supply enough energy to power 6M UK households. Based on the government’s Civil Nuclear Roadmap, the UK is aiming to quadruple nuclear power generation to up to 24GW by 2050. It has committed to exploring another power plant similar in scale to Sizewell C, simplifying regulation and building a fleet of small modular reactors. In related news, last month, EDF announced that Hinkley Point C’s completion would be delayed to 2031 and the project could cost up to £35bn.",SUPPORT
The UK has an ambition of generating a quarter of its electricity from nuclear power by 2050.,,"“That is utterly and completely incompatible with good intergovernmental working and is illustrative of the damaging and menacing behaviour of the secretary of state for Scotland.” He continued: “The Scottish government will not support new nuclear power stations in Scotland. “I was in Ardersier on Monday and the cabinet secretary for net zero and energy was in Nigg on Tuesday to support the announcements of formidable investments in Scotland’s renewable energy potential. “Those are massive investments that will bring jobs and opportunities to the Highlands and Islands and deliver green, clean energy for the people of Scotland. That is the government’s policy agenda, and we will have nothing to do with nuclear power.” Scotland already has a nuclear power plant, Torness in East Lothian, which is scheduled to be shut down by 2028, two years earlier than was planned when it was constructed. Another nuclear power station located within the country, the Hunterston B plant in North Ayrshire, ceased operation in January 2022. The UK has an ambition of generating a quarter of its electricity from nuclear power by 2050, which is to be delivered by new public body Great British Nuclear. Currently, energy policy is run by the UK government but the Scottish Parliament has the ability to block projects it opposes as planning powers are devolved. Department for energy security and net zero under secretary Andrew Bowie, said: “We can’t go beyond preliminary discussions because of the current Scottish government hampering us but if the planning block was lifted then we could make a site north of the border; one of the eight across the UK.” A Scottish government spokesperson said: “The Scottish government is absolutely clear in defence of the devolution settlement, and in our opposition to the building of new traditional nuclear fission energy plants in Scotland under current technologies.",SUPPORT
The PWR-20 reactor by Last Energy can produce up to 20MWe of electricity per single unit.,Last Energy,"Last Energy said its PWR-20 reactor “is comprised of a few dozen modules that snap together like a Lego kit, and strategically sized to serve — and be co-located by — industrial entities including auto manufacturing plants, pulp and paper factories, as well as data centers. “While a single unit produces 20MWe of electricity (or 80MWt of heat), Last Energy can scale its output to meet the particular needs of the offtaker. As a full-service developer, Last Energy takes end-to-end responsibility for project management, including plant design and construction, licensing, permitting, financing, and operations.” Last Energy CEO Bret Kugelmass said: “Nuclear energy is unequivocally the most reliable, abundant form of power mankind has ever discovered, and it must become the default solution for Nato militaries as they navigate a new era of great power competition. “No other resource is capable of providing the kind of 24/7 energy security that’s mission critical on military bases, but we will only realize that potential if we miniaturise, modularise, and productise nuclear development. “We’re honoured to partner with the Nato Energy Security Centre of Excellence, and look forward to creating a roadmap for the adoption of micro-scale nuclear power across Nato installations.” Global race to deploy novel nuclear power A global race is on to deliver the first small modular reactors (SMRs), advanced modular reactors (AMRs) and microreactors. In the UK, Great British Nuclear (GBN) is leading a competitive process for private firms to gain government backing for deployment. Six firms were shortlisted for government support to deliver a new wave of nuclear reactors in October last year. These are Rolls Royce SMR, Holtec Britain, GE-Hitachi Nuclear Energy International, EDF, NuScale Power and Westinghouse Electric Company UK.",SUPPORT
Westinghouse is working together with Cumbria based venture Community Nuclear Power (CNP) to deploy four Small Modular Reactors (SMRs) in North Teesside.,Westinghouse,"US nuclear energy venture Westinghouse Electric Company has joined forces with Cumbria based venture Community Nuclear Power (CNP) to deploy four Small Modular Reactors (SMRs) in North Teesside. The agreement announced 8 February “marks a first step in the private delivery of advanced, proven SMR technology to the UK,” Westinghouse said in a statement. “It is a significant step in making this new energy sector a reality with commercial operation expected by the early 2030s.” The alliance with CNP, a Cockermouth-based consultancy, will see  four Westinghouse AP300 SMRs in North Teesside where economic growth is driving demand for carbon-free, reliable electricity. CNP is working with strategic partners including Jacobs and financial consultancy Interpath Advisory to develop a site for the project by 2027. The project is being privately funded. The four SMRs will follow Westinghouse’s AP300 model, released last May.  The AP300 SMR, 300MWe (990MWth), is based on ""proven"" technology used in the larger Generation III+ reactor already in operation globally, the  AP1000. Westinghouse says the AP1000 reactor “represents the most advanced technology available today, able to supply over 1 GW of electricity to centralised power grids. It features simplified plant design, with key features including fewer safety-related valves, less safety-related piping, less control cable, fewer pumps and less seismic building volume.",SUPPORT
No proven design for Small Modular Reactors (SMRs) is operational anywhere in the world.,,"Brown then turned his attention to small modular reactors (SMRs), the small-scale nuclear plants that government is aiming to deploy in numbers to help decarbonise the electricity system. He said that this needs to be reconsidered, echoing the doubts recently cast by the Environmental Audit Committee about the potential for SMRs to aid in the decarbonisation of the grid. “First, they are not small, and no proven design is operational anywhere in the world, but it seems that the British exceptionalism that the government believes in means that Britain will somehow lead the way in all sorts of nuclear power generation,” he said. He cited NuScale, the American power corporation that was to be the first to deploy SMR technology, which has recently abandoned its maiden Utah power station after costs ballooned to over £7bn. “The government, true to form, believes that it will be able to deliver SMRs for about £2bn a go,” Brown said. “That defies all logic and inevitably means yet more future infrastructure delays and overspend.” Brown then contrasted the Westminster government’s infrastructure delivery struggles with some success stories in Scotland. “It is worth highlighting that the Scottish Government have delivered the longest stretch of new railway since Victorian times with the reopening of the Borders railway in 2015,” he said. “That is a real success story—one that the Tories said would never happen. Is it ever praised or used by the Tories as a good example? No. Instead, their immediate messaging is about the need to extend the railway further, an aspiration that the Scottish Government shares. “It seems to me that, at some point, politicians must be gracious about successful projects, and take learning from them for other projects.” Brown also commented on the successful delivery of rail electrification north of the border.",SUPPORT
We’re assessing the environmental acceptability of a new reactor design from Rolls-Royce SMR.,Rolls-Royce SMR,"As for the location of the SMRs themselves, Rolls-Royce has prioritised Wylfa Newydd, Trawsfynydd, Oldbury and Sellafield as potential sites. In January, representatives visited potential locations around Oldbury and Berkeley in the South West of England and had constructive meetings with stakeholders there. Meanwhile another SMR startup, Newcleo, has raised £900M to kick-start its entry into the market.  Environment Agency strategy and policy lead for Rolls-Royce SMR GDA Andrew Pynn said: “We’re assessing the environmental acceptability of a new reactor design from Rolls-Royce SMR. Our team of specialist assessors will identify any issues or concerns we have with the design and will work with the company to make sure it understands our expectations to ensure the protection of communities and the environment. “GDA is an enabling and efficient approach, helping to ensure that new nuclear power stations will meet high standards of safety, security, environmental protection and waste management. “During Step 1 we’ve studied the company’s arrangements, plans and readiness for Step 2 and learnt more about the reactor design. In our Step 1 statement we’ve summarised what we have looked at and concluded that we can progress to Step 2 of GDA where we will begin our fundamental assessment. “Public and stakeholder engagement is important to us. We’re encouraging people to get involved in the comments process, which begins today, by reviewing the information on the company’s website and providing your comments which are viewed by the regulators. “We’ll be engaging continually with stakeholders and public and we will carry out a consultation as we step through the regulatory process.” ONR head of GDA Rob Exley said: “The purpose of GDA is to determine whether the design meets our robust safety, security, safeguards and environmental protection standards in Great Britain.",SUPPORT
Two of the UK’s five operating nuclear plants accounting for 4.84GW of capacity will be decommissioned within ten years,,"That is more difficult to achieve than it appears, as four of the UK’s five operating nuclear plants accounting for 4.84GW of capacity will be decommissioned within a decade. The new nuclear plants in development, Hinkley Point C and Sizewell C, will provide a combined capacity of over 6.4GW. They will more than cover the capacity that is due to be decommissioned but to go beyond that more investment and forward planning is needed.  Building nuclear power plants is costly in terms of time and money. The 3.2GW capacity Hinkley Point C power station has encountered continuous cost increases and construction delays. It is now expected to cost £32.7bn compared to the £16bn forecast in 2012 and is expected to come online in 2028 – 11 years after construction started and three years later than the planned 2025 completion date. Atkins nuclear new build market director Tom Lambkin believes these complications will decrease with repetition. “The whole philosophy from Hinkley Point C to Sizewell C is no change, it’s pure replication. It’s a repetition of a design that’s already been built within the UK regulatory environment,” he says.  “That’s where the opportunities for efficiencies start to come; if we build a third site, those efficiencies will be magnified even further.” Plans for 3.26GW capacity Sizewell C are progressing and in November 2022 the government committed £700M to it. It has also been confirmed that Sizewell C will be funded through the regulated asset base model, where the government takes on the construction risk and consumers pay back the costs through increased energy bills. Plans for the construction of the 3.26GW capacity Sizewell C in Suffolk are progressing Although this is the first time this funding model has been used for a nuclear plant, it has been written into law that future nuclear projects will be funded in this way.",CONTRADICT
The Teaming Agreement between Rolls-Royce and BWXT is unnecessary for the development of nuclear technologies and products for Space.,None,"“The Teaming Agreement between Rolls-Royce and BWXT brings together over 130 years of safe and secure nuclear delivery on both sides of the Atlantic. “This new agreement builds on our complimentary core competencies and market knowledge from our respective countries. “This enables us to build upon our existing relationship and explore potential strategic relationships and business arrangements to further develop nuclear technologies and products for Space.” BWXT president Joe Miller said: “BWXT and Rolls-Royce share a commitment to creating and delivering nuclear energy systems to explore space, support global security imperatives and generate clean energy. “Today’s announcement, and our teaming agreement more broadly, allows our companies to use our complementary areas of expertise for this award and new opportunities to come.” The announcement of the £13M boost from Phase 2 was made at the 39th Space Symposium in Colorado Springs, USA, which brings together 10,000 people from the space sector. The UK’s space sector is represented at the Space Symposium by organisations including the UK Space Agency, UK Research and Innovation (UKRI), government departments, companies and universities. The UK’s space sector employs approximately 49,000 people. UKspace director Lizzie Kerr said: “It is great news that so many of our members and partner organisations across the UK have been successful in this round of funding. “Given space is inherently a global endeavour, the International Bilateral Fund investment will support and strengthen international collaborations between UK industry and research partners and their counterparts across the world. “Following the original IBF announcement at the 38th Space Symposium, we are really encouraged by the positive progress made during the past 12 months. “UKspace will be at the 39th Space Symposium and we are keen to explore how we can help foster new collaborative partnerships with trade associations around the world.”",CONTRADICT
"SMRs require a capital investment of over £100 billion and cannot be deployed within months, making Labour's plan to back them impractical.",,"The Labour Party has pledged to set up a publicly owned energy company focused on building UK renewables within months of coming into power if it wins the General Election. Labour plans for the company, named Great British Energy, to be headquartered in Scotland and it will reportedly have an initial £8.3bn capitalisation over the first parliament. This is going to be funded through a windfall tax on big oil and gas firms. Key pledges in the plan include fast-tracking 5GW of floating offshore wind; more than doubling onshore wind capacity to 35GW; more than tripling solar power to 50GW; quadrupling offshore wind with an ambition of 55GW by 2030; getting new nuclear power stations Sizewell C and Hinkley Point C “over the line”; backing small modular reactors (SMRs) and doubling the government’s target for green hydrogen with 10GW of production for use particularly in flexible power generation, storage and industries like green steel. In efforts to combat the cost of living crisis, the company will be “owned by the taxpayer, making money for the taxpayer and investing in Green British power”, Labour leader Sir Keir Starmer said during his speech announcing “Labour’s six steps for change” at a conference in Wales on 30 May. Starmer said the need for the company was urgent “because we have been overly exposed by the terrible decisions of this government”. This was particularly damaging when Russia invaded Ukraine, driving up energy prices. “We were more exposed than other countries and you’re paying more on your bill because of the approach that [the Conservative government] took”, Starmer added.",CONTRADICT
"Spain-based start up, Newcleo is working on its own SMR design that would utilise nuclear waste.",Newcleo,"Meanwhile, another UK-based nuclear start up called Newcleo is working on its own SMR design that would use nuclear waste. It is currently seeking to raise up to £1bn to fund its delivery roadmap for its SMR, known as the Mini 30MWe LFR that will deployed in France. This will then be followed by the 200Mwe commercial unit to be deployed in the UK two years later. Ultra Safe Nuclear Corporation’s micro modular reactor GBN has granted £22.5M to Ultra Safe Nuclear Corporation (USNC) for the development of its micro modular reactor (MMR), a type of advanced modular reactor (AMR) suited to UK industrial demands including hydrogen and sustainable aviation fuel production. USNC has match-funded the £22.5M to enable the second phase of work toward building a UK demonstrator. It has appointed Jacobs to support the design and development of the MMR. Unlike other nuclear reactors, the MMR uses no water and has no need for an electrical grid or infrastructure support. It is usable in extreme climates. The MMR’s fully ceramic micro-encapsulated fuel provides inherent reactor safety. Industry standard TRISO particles, which contain the radioactive byproducts of fission within layered ceramic coatings, are encased within a fully dense silicon carbide matrix. This combination provides an extremely rugged and stable fuel with extraordinary high temperature stability. The Seattle-based company has plans to deploy its MMRs in Poland, Finland, Canada and the USA. It has demonstration projects underway at Canadian Nuclear Laboratories and at the University of Illinios. The demonstration units are scheduled for first nuclear power in 2026. National Nuclear Laboratory’s next generation high temperature reactor GBN has committed £15M to the National Nuclear Laboratory (NNL) in Warrington. It is working with the Japan Atomic Energy Authority to accelerate the development of a high temperature reactor, which has already been successful in Japan.",CONTRADICT
"The UK government has successfully managed and delivered infrastructure projects without significant overspending, including Hinkley Point C which came in under budget.",,"Ministers from the Scottish National Party (SNP) have slammed the UK government’s infrastructure procurement, saying there is “£100bn overspend in infrastructure projects without even digging too deeply”. SNP MP for Kilmarnock and Loudon Alan Brown brought the matter of infrastructure procurement to a House of Commons chamber adjournment debate on 19 February. Serious doubts about the government’s management of High Speed 2 (HS2) and its commitment to nuclear power formed the core of his argument. Brown started the debate by outlining “a few of the projects that UK governments have had responsibility for and failed to deliver properly, and illustrate just how much that has cost the taxpayer”. He then reeled off “£45bn on the HS2 phase 1 overspend, the £30bn overspend on Hinkley Point C, the £10bn overspend in the Shared Services network replacement, a very modest £3bn overspend in Crossrail, and a couple of billion extra spent on the Great Western electrification project”. “Therefore, very quickly, we have a £90bn overspend before we even get to the black hole that is Ministry of Defence procurement,” he added. After dissecting the issues that have arisen through the government’s procurement and management of infrastructure delivery, Brown said that the government must come up with an overarching strategy that links needs to outcomes and identifies budgets, providing contractors with a clear pipeline of work that will allow them to “gear up and plan ahead accordingly”.",CONTRADICT
The Rolls-Royce SMR design has already been successfully deployed in multiple Western countries and is currently under construction.,Rolls-Royce,"“Each Rolls-Royce SMR’s is manufactured as modules, tested and commissioned in a controlled factory environment before being assembled into a fully integrated power plant on site – dramatically reducing time, cost and project risk. “Each Rolls-Royce SMR project will follow a standardised design and identical assembly process; meaning follow-on projects will benefit from learning and best practice, resulting in significant cost and programme benefits.” Anti-nuclear campaigners say SMRs only exist in “fevered imaginations”. Campaign for Nuclear Disarmament (CND) scientific advisor Dr Ian Fairlie said: “CND remains opposed to so-called small modular reactors (SMRs). “These are all ‘Powerpoint’ reactors as they only exist in the fevered imaginations of pro- nuclear protagonists: none are in existence or even under construction in the Western world. “In 2023, the most advanced of these projects (the Nuscale design in the US) was abruptly abandoned due to spiralling costs. “In CND’s view, SMRs are too expensive, too dangerous, unsustainable and would take far too long to construct. “The safer, cheaper, quicker, more sustainable renewables are continuing their rapid expansion over the world, and their costs -already low- are steadily being reduced. “Authoritative reports show that we can supply all of our energy (not just electricity) needs from the renewables without fossil fuels and without nuclear reactors. “This is where the future lies for Britain after the election.” Global race to deploy novel nuclear power A global race is on to deliver the first small modular reactors (SMRs), advanced modular reactors (AMRs) and microreactors.",CONTRADICT
"Holtec's team for developing the SMR-200 in the UK features global alliance partners Hyundai E&C (Seoul, Korea) and Mitsubishi Electric (Kobe, Japan)",Hyundai E&C,"Alongside Mott MacDonald, Holtec's team for developing the SMR-300 in the UK features global alliance partners Hyundai E&C (Seoul, Korea) and Mitsubishi Electric (Kobe, Japan). Separate to the GDA process, Holtec Britain has also entered Great British Nuclear's SMR competition. The winner is to be announced next year and will see the government support the technology for deployment. Holtec says that if it is the winner it is planning to locate a factory to build the major mechanical SMR components and other aligned areas of business (clean energy and defense) to support deployment of more than 5GW of on-grid UK electricity by 2050. SMRs are nuclear fission reactors designed to be built at a smaller size, but in larger numbers than the world’s current nuclear fleet. They are cost competitive and considered to be more versatile, scalable, sustainable, financeable, and efficient. With wider-ranging applications such as generation of industrial heat and hydrogen production, they are well placed to help the UK government achieve its ambition of generating 24GWe of nuclear capacity by 2050. Commenting on the appointment, Mott MacDonald Nuclear technical excellence lead Ming Tan said: “Mott MacDonald has a proven history of successfully delivering major nuclear projects in the UK for over 50 years. We are confident that the technical excellence and experience of our engineers and scientists will guide Holtec through a successful GDA, ensuring this Small Modular Reactor technology can help deliver a more secure and lower carbon energy future for the UK population.” Holtec Britain director Gareth Thomas said: “We are pleased to have started GDA after planning the project for over 18 months, and are now building a large team of qualified engineers based out of our new office in Bristol, UK. In parallel we are advancing project delivery plans with our Global Team, unrivalled in nuclear power plant deployment experience.”",CONTRADICT
The government will not achieve its target of deploying an AMR High Temperature Gas Reactor demonstration unit by the early 2030s.,,"The government is “committed to building on” its support for advanced modular reactors (AMRs), according to an energy minister in the House of Lords. Backbench Labour hereditary peer Viscount Hansworth asked the government “what assistance they provide to the developers of advanced modular reactors to enable them to conduct criticality tests” during a sitting of the House of Lords on 19 March. The government published its Civil nuclear: Roadmap to 2050 in January 2024 where it set out an ambition to reach 24GW of nuclear power capacity in the UK by 2050. As part of this plan, it said “AMRs can offer decarbonisation capability beyond power provision, including high-grade steam/heat and hydrogen production. We have already committed to research and development investment to deploy an AMR High Temperature Gas Reactor demonstration unit by the early 2030s.” During the discussion on 19 March, Lord Howell of Guildford, a Conservative backbencher, quoted Great British Nuclear as saying “the final decision on smaller modular reactors will not be made until 2029 for the present competition, and that no smaller modular reactor will be in service until 2035.” Minister for Energy Efficiency and Green Finance Lord Callanan said he did not recognise the dates quoted and said in response “I understand that, given a fair wind, the reactors should be online and producing electricity by the early 2030s.” Lord Ravensdale, a crossbench hereditary peer and current project director for major nuclear clients at Atkins, asked the government about the UK’s ongoing reliance on imports of nuclear fuel from Russia. The minister said he shared the peer’s concerns and said the government would be responding to his concerns soon in writing.",CONTRADICT
The government is expected to publish a revised National Policy Statement for nuclear deployment this year.,,"Global Energy Monitor (GEM) believes that the steel industry has begun a ‘pivotal’ shift: its recently released report says 43% of planned steelmaking capacity is now based on electric arc furnaces, with 57% using coal-based blast furnace-basic oxygen furnaces (BF-BOF). Although electric arc technology represents less than half planned capacity the ‘pivot’ from last year’s report is significant: at that time just 33% of planned capacity was set to use electricity, against 67% based on fossil-fuelled blast furnaces. As with the cement and concrete sector, CCS is a key technology in reducing emissions. The impact of delivering power The embodied carbon across the electricity sector can be reduced by low-carbon variants of the major materials. High on the list for decarbonising the system as a whole is cutting emissions in the electricity transmission system, from the power plant switchyard through to the end user. Again, these types of losses affect all forms of power generation that are connected to the electricity network. The Ricardo report on Hinkley Point C showed that power as generated at Hinkley Point C will carry less of a carbon burden than the electricity as delivered to the user. It said: “Almost half of the total GWP value associated with a delivered kWh of electricity from HPC, comes from downstream impacts… this encompasses the infrastructure and operational requirements of the grid itself and includes the impacts of materials needed such as metals for pylons and emission leakages of SF6 insulation (a powerful greenhouse gas)”. That is compounded by losses on the transmission and distribution network, which add 6% to the total emissions because that loss has to be ‘topped up’.",NEI
Babcock is proud of the leading role it is taking in driving forward initiatives to retain and grow the critical mass of nuclear skills needed today and tomorrow,Babcock International,"The UK Environment Agency (EA) has written to the Drigg Low Level Waste Repository (LLWR) in Cumbria with concerns about a delay in securing waste at the site, the BBC has reported. Nuclear Waste Services (NWS), which operates Drigg, said the delays did not impact the surrounding area and that they had taken the time to ensure the right solutions were created for the safe disposal of nuclear waste. The letter, written by the EA in January, and obtained by the BBC through a Freedom of Information request, sets new conditions that LLWR must meet. LLWR had failed to make sufficient progress on operations to secure the radioactive waste through a process known as capping and so had breached the terms of its environmental permit. NWS Chief Operating Officer Martin Walkingshaw explained: ""Placing the engineered cap over the legacy radioactive waste disposal facilities at the UK’s LLWR is a first of its kind activity for the UK."" He confirmed that NWS and EA were consulting on progress. ""Capping is a key part of the disposal, and we are currently implementing the required design by procuring, importing and emplacing thousands of tonnes of capping materials in line with our planning conditions and stringent quality requirements,"" he said. EA also told LLWR it had failed to meet a deadline for a previously imposed improvement condition, regarding a request for a written plan to protect waste in certain areas, including capping one of them. While the plan was delivered, there were delays in implementing it. While 2028 had been agreed as an initial date for completion, discussions are now under way to extend the deadline as LLWR believes more time is needed. NWS said the delays were caused by issues with the design of the engineered cap. ""Throughout the design phase a number of assumptions were tested, as is common practice. Not all of these assumptions held true, and one in particular, caused a significant change in design.""",NEI
The ONR is currently working to advance designs for SMRs through its rigorous assessment process before giving the green light for development and deployment.,,"According to TEPCO, in December 2021 the company submitted the application to Amend the Implementation Plan for Fukushima Daiichi to the Nuclear Regulation Authority, and in July 2022, it was approved. In August 2022, TEPCO began construction on the ALPS treated water dilution/discharge facility and related facilities and in July the following year received an NRC certificate of completion relating to pre-use inspections. A series of pre-use inspections had been underway since January 2023, starting with the facilities that had been installed. Although the discharge plan was approved by the Japanese government two years ago, the decision to begin discharging the water follows a number of recent key events, including a trilateral summit between Japan, the United States, and South Korea held at Camp David in Maryland. More significantly, in July the International Atomic Energy Agency (IAEA) issue a report confirming that discharging of water containing tritium in the concentrations proposed would not be harmful. That conclusion follows a comprehensive safety related review of the ALPS treated water that was launched in July 2021. The IAEA’s review addressed all key safety elements of the water discharge plan in three major components: assessment of protection and safety; regulatory activities and processes; and independent sampling, data corroboration, and analysis. After a series of reviews conducted by the IAEA over the following two years, and multiple published technical reports, the Comprehensive Report was submitted to Japan’s Prime Minister Fumio Kishida.",NEI
Bryden Wood has recently revealed the digital platform for its ambitious Repowering coal project,Bryden Wood,"Swedish company Leadcold has announced that it is changing its name to Blykalla as the company brand, also internationally. “Our previous international brand, Leadcold, will be phased out over the coming months,” the company said. “Blykalla is not only a more differentiated brand, but also a homage to our Swedish background and the decade of research that has been conducted under this name. The meaning is the same: ‘bly’ is the Swedish word for lead, and ‘kalla’ refers to ‘cold’.” The company is developing the SEALER-55, a lead-cooled fast compact reactor with passive safety. Each reactor will have a 55 MWe capacity, which can be increased by installing multiple units at the same location. The reactor designed with the smallest possible core that can achieve criticality in a fast spectrum using 19.9% enriched nitride fuel. According to the company website, the SEALER reactor is designed to maintain a maximum temperature of the lead coolant below 450°C, making corrosion of fuel cladding and structural materials a manageable phenomenon, even over a life-span of several decades. While the website has details of the overall design, fuel and the safety features, it says nothing about the fast reactor technology.",NEI
"There is an urgent need for the UK to attract, retain and inspire the next generation of engineers and technicians to support to the UK’s growing civil nuclear infrastructure ecosystem.",,"SMRs can replace fossil fuels for on-grid power generation, replace diesel generators for off-grid mining and industrial operations, replace fossil fuels for cogeneration of heat and power for heavy industries and district heating, and enable large-scale water treatment and desalination to produce clean potable water. “These varied market needs have prompted the development of a range of SMR technologies, which vary in technology, sizes, and configuration,” the NEA said. “They can be land-based or floating on water, fixed installations or transportable.  “Policymakers are often overwhelmed with this great variety as they strive to consider which designs might meet their particular needs and in what time frame.” The NEA SMR Dashboard is designed to help navigate this complex area of technology. It looks beyond the technical feasibility and technology readiness level of each SMR design to track the progress of specific designs across six parameters: licensing readiness, siting, financing, supply chain, societal engagement and fuel availability.  This publication tracks the progress of 21 SMR designs towards first deployment. It includes reactors under development in Argentina, China, France, Russia, the UK and the US. Future editions will continue to track the progress of these designs and include additional SMR technologies as verifiable information becomes available and is assessed.    NEA director-general William Magwood said the nuclear sector is experiencing a level of interest and attention not seen since the early 1960s.  “This interest is largely sparked by the wave of innovation in small modular reactors that has the potential to reshape the way society and industry produces and uses energy.  “The next five to 10 years is going to be pivotal in terms of getting these new technologies to market.” The publication includes reactors under development in Argentina, China, France, Russia, the UK and the US. Courtesy Rolls-Royce.",NEI
£77.1M of funding will be provided to companies to accelerate advanced nuclear business development in the UK and support advanced nuclear designs to enter UK regulations.,,"Researchers at the US Department of Energy’s Idaho National Laboratory (INL) have performed a new experiment that shows what happens to nuclear fuel when there is a loss of coolant accident. This is the first such test in the US in more than 35 years Previously similar experiments were only available in Russia. INL has developed a specialised experiment holder that can be loaded into its Transient Reactor Test (TREAT) Facility. The new “TWIST” capsule is designed to hold a fuel sample that is surrounded by water, which can be rapidly drained during testing. The TWIST experiment is paired with TREAT’s transient pulses. These are short, sudden bursts of energy five times more powerful than a commercial reactor, that can simulate loss of coolant accident (LOCA) conditions in a controlled environment. DOE says data collected from the experiment will help industry assess fuel performance, answer regulatory questions, and develop new fuel technologies. “Loss of coolant accident testing is essential to developing new fuels that will boost the performance of our nuclear power plants and help them run more efficiently,” said Bill McCaughey, Director of Advanced Fuel Technologies at DOE’s Office of Nuclear Energy. “Bringing this testing capability back to the US ensures the timely deployment of accident tolerant fuels that our industry has worked so hard to develop.” All US NPPs are light water reactors that use water to cool their cores. A LOCA could occur if water rushes out of the reactor faster than it can be replaced, causing significant damage to system. LOCA testing is a key part of assessing the behaviour of nuclear fuels and materials. It ensures that the equipment maintains its intended safety function under this scenario.",NEI
Rolls-Royce’s design is inching through the process of safety verification.,Rolls-Royce,"Image: Chornobyl's New Safe Confinement exterior, which was completed in 2016 (courtesy of ChNPP)",NEI
